abandoned,0
abandonment,0
abandon,0
abase,0
abasement,0
abash,0
abate,0
abdicate,0
aberration,0
abhor,0
abhorred,0
abhorrence,0
abhorrent,0
abhorrently,0
abhors,0
abidance,1
abide,1
abject,0
abjectly,0
abjure,0
abilities,1
ability,1
able,1
abnormal,0
abolish,0
abominable,0
abominably,0
abominate,0
abomination,0
above,1
above-average,1
abound,1
abrade,0
abrasive,0
abrupt,0
abscond,0
absence,0
absentee,0
absent-minded,0
absolve,1
absurd,0
absurdity,0
absurdly,0
absurdness,0
abundant,1
abundance,1
abuse,0
abuses,0
abusive,0
abysmal,0
abysmally,0
abyss,0
accede,1
accept,1
acceptance,1
acceptable,1
accessible,1
accidental,0
acclaim,1
acclaimed,1
acclamation,1
accolade,1
accolades,1
accommodative,1
accomplish,1
accomplishment,1
accomplishments,1
accord,1
accordance,1
accordantly,1
accost,0
accountable,0
accurate,1
accurately,1
accursed,0
accusation,0
accusations,0
accuse,0
accuses,0
accusing,0
accusingly,0
acerbate,0
acerbic,0
acerbically,0
ache,0
achievable,1
achieve,1
achievement,1
achievements,1
acknowledge,1
acknowledgement,1
acquit,1
acrid,0
acridly,0
acridness,0
acrimonious,0
acrimoniously,0
acrimony,0
active,1
acumen,1
adamant,0
adamantly,0
adaptable,1
adaptability,1
adaptive,1
addict,0
addiction,0
adept,1
adeptly,1
adequate,1
adherence,1
adherent,1
adhesion,1
admirable,1
admirer,1
admirably,1
admiration,1
admire,1
admiring,1
admiringly,1
admission,1
admit,1
admittedly,1
admonish,0
admonisher,0
admonishingly,0
admonishment,0
admonition,0
adorable,1
adore,1
adored,1
adorer,1
adoring,1
adoringly,1
adrift,0
adroit,1
adroitly,1
adulate,1
adulation,1
adulatory,1
adulterate,0
adulterated,0
adulteration,0
advanced,1
advantage,1
advantageous,1
advantages,1
adventure,1
adventuresome,1
adventurism,1
adventurous,1
adversarial,0
adversary,0
adverse,0
adversity,0
advice,1
advisable,1
advocate,1
advocacy,1
affable,1
affability,1
affably,1
affectation,0
affection,1
affectionate,1
affinity,1
affirm,1
affirmation,1
affirmative,1
afflict,0
affliction,0
afflictive,0
affluent,1
affluence,1
afford,1
affordable,1
affront,0
afloat,1
afraid,0
against,0
aggravate,0
aggravating,0
aggravation,0
aggression,0
aggressive,0
aggressiveness,0
aggressor,0
aggrieve,0
aggrieved,0
aghast,0
agile,1
agilely,1
agility,1
agitate,0
agitated,0
agitation,0
agitator,0
agonies,0
agonize,0
agonizing,0
agonizingly,0
agony,0
agree,1
agreeability,1
agreeable,1
agreeableness,1
agreeably,1
agreement,1
ail,0
ailment,0
aimless,0
airs,0
alarm,0
alarmed,0
alarming,0
alarmingly,0
alas,0
alienate,0
alienated,0
alienation,0
allay,1
allegation,0
allegations,0
allege,0
allergic,0
alleviate,1
allow,1
allowable,1
allure,1
alluring,1
alluringly,1
ally,1
almighty,1
aloof,0
altercation,0
although,0
altruist,1
altruistic,1
altruistically,1
amaze,1
amazed,1
amazement,1
amazing,1
amazingly,1
ambiguous,0
ambiguity,0
ambitious,1
ambitiously,1
ambivalence,0
ambivalent,0
ambush,0
ameliorate,1
amenable,1
amenity,1
amiability,1
amiabily,1
amiable,1
amicability,1
amicable,1
amicably,1
amiss,0
amity,1
amnesty,1
amour,1
ample,1
amply,1
amputate,0
amuse,1
amusement,1
amusing,1
amusingly,1
anarchism,0
anarchist,0
anarchistic,0
anarchy,0
anemic,0
angel,1
angelic,1
anger,0
angrily,0
angriness,0
angry,0
anguish,0
annihilate,0
annihilation,0
animated,1
animosity,0
annoy,0
annoyance,0
annoyed,0
annoying,0
annoyingly,0
anomalous,0
anomaly,0
antagonism,0
antagonist,0
antagonistic,0
antagonize,0
anti-,0
anti-American,0
anti-Israeli,0
anti-Semites,0
anti-US,0
anti-occupation,0
anti-proliferation,0
anti-social,0
anti-white,0
antipathy,0
antiquated,0
antithetical,0
anxieties,0
anxiety,0
anxious,0
anxiously,0
anxiousness,0
apathetic,0
apathetically,0
apathy,0
ape,0
apocalypse,0
apocalyptic,0
apologist,0
apologists,0
apostle,1
apotheosis,1
appal,0
appall,0
appalled,0
appalling,0
appallingly,0
appeal,1
appealing,1
appease,1
applaud,1
appreciable,1
appreciate,1
appreciation,1
appreciative,1
appreciatively,1
appreciativeness,1
apprehension,0
apprehensions,0
apprehensive,0
apprehensively,0
appropriate,1
approval,1
approve,1
apt,1
aptly,1
aptitude,1
arbitrary,0
arcane,0
archaic,0
ardent,1
ardently,1
ardor,1
arduous,0
arduously,0
aristocratic,1
argue,0
argument,0
argumentative,0
arguments,0
arousal,1
arouse,1
arousing,1
arresting,1
arrogance,0
arrogant,0
arrogantly,0
articulate,1
artificial,0
ascendant,1
ascertainable,1
ashamed,0
asinine,0
asininely,0
asinininity,0
askance,0
asperse,0
aspersion,0
aspersions,0
aspiration,1
aspirations,1
aspire,1
assail,0
assassinate,0
assassin,0
assault,0
assent,1
assertions,1
assertive,1
asset,1
assiduous,1
assiduously,1
assuage,1
assurance,1
assurances,1
assure,1
assuredly,1
astonish,1
astonished,1
astonishing,1
astonishingly,1
astonishment,1
astound,1
astounded,1
astounding,1
astoundingly,1
astray,0
astute,1
astutely,1
asunder,0
asylum,1
atrocious,0
atrocities,0
atrocity,0
atrophy,0
attack,0
attain,1
attainable,1
attentive,1
attest,1
attraction,1
attractive,1
attractively,1
attune,1
audacious,0
audaciously,0
audaciousness,0
audacity,0
auspicious,1
austere,0
authentic,1
authoritarian,0
authoritative,1
autocrat,0
autocratic,0
award,1
autonomous,1
avalanche,0
avarice,0
avaricious,0
avariciously,0
avenge,0
aver,1
averse,0
aversion,0
avid,1
avidly,1
avoid,0
avoidance,0
awe,1
awed,1
awesome,1
awesomely,1
awesomeness,1
awestruck,1
awful,0
awfully,0
awfulness,0
awkward,0
awkwardness,0
ax,0
babble,0
back,1
backbite,0
backbiting,0
backbone,1
backward,0
backwardness,0
bad,0
badly,0
baffle,0
baffled,0
bafflement,0
baffling,0
bait,0
balanced,1
balk,0
banal,0
banalize,0
bane,0
banish,0
banishment,0
bankrupt,0
bar,0
barbarian,0
barbaric,0
barbarically,0
barbarity,0
barbarous,0
barbarously,0
barely,0
bargain,1
barren,0
baseless,0
bashful,0
basic,1
bask,1
bastard,0
battered,0
battering,0
battle,0
battle-lines,0
battlefield,0
battleground,0
batty,0
beacon,1
bearish,0
beast,0
beastly,0
beatify,1
beauteous,1
beautiful,1
beautifully,1
beautify,1
beauty,1
bedlam,0
bedlamite,0
befit,1
befitting,1
befoul,0
befriend,1
beg,0
beggar,0
beggarly,0
begging,0
beguile,0
belated,0
belabor,0
beleaguer,0
belie,0
believable,1
belittle,0
belittled,0
belittling,0
bellicose,0
belligerence,0
belligerent,0
belligerently,0
beloved,1
bemoan,0
bemoaning,0
bemused,0
benefactor,1
beneficial,1
beneficent,1
beneficially,1
beneficiary,1
benefit,1
benefits,1
benevolence,1
benevolent,1
benign,1
bent,0
berate,0
bereave,0
bereavement,0
bereft,0
berserk,0
beseech,0
beset,0
besiege,0
besmirch,0
best,1
best-known,1
best-performing,1
best-selling,1
bestial,0
betray,0
betrayal,0
betrayals,0
betrayer,0
better,1
better-known,1
better-than-expected,1
bewail,0
beware,0
bewilder,0
bewildered,0
bewildering,0
bewilderingly,0
bewilderment,0
bewitch,0
bias,0
biased,0
biases,0
bicker,0
bickering,0
bid-rigging,0
bitch,0
bitchy,0
biting,0
bitingly,0
bitter,0
bitterly,0
bitterness,0
bizarre,0
blab,0
blabber,0
black,0
blackmail,0
blah,0
blame,0
blameless,1
blameworthy,0
bland,0
blandish,0
blaspheme,0
blasphemous,0
blasphemy,0
blast,0
blasted,0
blatant,0
blatantly,0
blather,0
bleak,0
bleakly,0
bleakness,0
bleed,0
blemish,0
bless,1
blessing,1
blind,0
blinding,0
blindingly,0
blindness,0
blindside,0
bliss,1
blissful,1
blissfully,1
blister,0
blistering,0
blithe,1
bloated,0
block,0
blockhead,0
blood,0
bloodshed,0
bloodthirsty,0
bloody,0
bloom,1
blossom,1
blow,0
blunder,0
blundering,0
blunders,0
blunt,0
blur,0
blurt,0
boast,0
boastful,0
boggle,0
bogus,0
boil,0
boiling,0
boisterous,0
bold,1
boldly,1
boldness,1
bolster,1
bombard,0
bomb,0
bombardment,0
bombastic,0
bondage,0
bonkers,0
bonny,1
bonus,1
boom,1
booming,1
boost,1
bore,0
boredom,0
boring,0
botch,0
bother,0
bothersome,0
boundless,1
bountiful,1
bowdlerize,0
boycott,0
braggart,0
bragger,0
brains,1
brainwash,0
brainy,1
brash,0
brashly,0
brashness,0
brat,0
bravado,0
brave,1
bravery,1
brazen,0
brazenly,0
brazenness,0
breach,0
break,0
break-point,0
breakdown,0
breakthrough,1
breakthroughs,1
breathlessness,1
breathtaking,1
breathtakingly,1
bright,1
brighten,1
brightness,1
brilliance,1
brilliant,1
brilliantly,1
brimstone,0
brisk,1
bristle,0
brittle,0
broad,1
broke,0
broken-hearted,0
brood,0
brook,1
brotherly,1
browbeat,0
bruise,0
brusque,0
brutal,0
brutalising,0
brutalities,0
brutality,0
brutalize,0
brutalizing,0
brutally,0
brute,0
brutish,0
bug,0
buckle,0
bulky,0
bull,1
bullies,0
bullish,1
bully,0
bullyingly,0
bum,0
bumpy,0
bungle,0
bungler,0
bunk,0
buoyant,1
burden,0
burdensome,0
burdensomely,0
burn,0
busy,0
busybody,0
butcher,0
butchery,0
byzantine,0
cackle,0
cajole,0
calamities,0
calamitous,0
