index,text,quality,difficulty,prof_name
0,"people are just being hard on Robert because he teaches hard classes, whenever I have a class with Robert and my friends have the same class with someone else I end up having more fun, learning it better, and better grade (my friends are smarter than me) he is incredibly carrying and is very accessible. overall amazing guy! hard class, amazing guy",5.0,4.0,Robert Van Den Hoogen
1,The course was difficult but he is always available outside of class time. He truly cares about his students and is extremely helpful. He relates class material to physics which is great for me since I am a physics major. Theres a lot work to put in if you want a good grade but it is attainable. Fair marker and he provides lots of practice.,5.0,4.0,Robert Van Den Hoogen
2,"Robert's classes can be hard; he covers a lot of stuff and sometimes expects a lot of work. Assignments and midterms can be difficult and he doesn't grade easily. However he is a really good teacher, and extremely helpful and understanding. His classes are far from easy but they'll leave you with good understanding. He is very helpful and friendly.",5.0,4.0,Robert Van Den Hoogen
3,"He flies through the lectures so it is impossible to watch them live. I spend numerous hours weekly going through the recorded lectures trying to understand, but I swear he explains things knowing he is making no sense and just does not care. I have always loved math but prof Van Den Hoogen is making me question that. His tests are also so hard!!",1.0,4.0,Robert Van Den Hoogen
4,Robert's teaching method is not good. He can also make you feel kinda stupid if you go to office hours. It almost makes me scared to go to him for help even though I'm doing horrible in the class. Avoid having this teacher it's so hard to be successful. Tests are so so so hard.,1.0,4.0,Robert Van Den Hoogen
5,Terrible. His tests are very inefficient from the student perspective and every time I send him an email for help he comes back with the super dry response telling me to figure it out. He makes it unreasonably hard to understand everything because of how fast he rips through the content. Avoid this guy at all costs.,1.0,4.0,Robert Van Den Hoogen
6,"Guy is a joke, tests are unreasonable. Avoid his class!",1.0,5.0,Robert Van Den Hoogen
7,"Robert has to be one of the worst professors I have ever had. Linear Algebra is a tough course in general, but his lectures never make any sense. He rarely finishes his examples, so there's nothing to go off of when preparing for tests or assignments. He's terrible at explaining things and makes you feel stupid in class. Avoid him if you can.",2.0,4.0,Robert Van Den Hoogen
8,"Great guy but teaches so fast that it can be hard to keep up. Weekly quizzes were super hard and the exam was even harder. He definitely knows his stuff, but trying to process it all can be overwhelming.",2.0,5.0,Robert Van Den Hoogen
9,"He's definitely enthusiastic about what he's teaching but he makes so many mistakes. Mistakes in the powerpoint, mistakes during class exercises, even made a mistake on an online quiz once making everyone get it wrong. He rushes a lot in class so often students leave feeling confused. He's an alright guy, but overall he was very frustrating.",1.0,4.0,Robert Van Den Hoogen
10,"Great prof!! made class interesting, was easy to understand and funny too. very enthusiastic about math, definately take him for calculus. do the assignments and the exams wont be hard",4.5,4.0,Robert Van Den Hoogen
11,A good prof for stats. HK students have to take him. Not too hard and weekly quizzes force you to study and keep up. Do the homework.,4.0,3.0,Robert Van Den Hoogen
12,"Best class in 4 years of classes at STFX.  Knows his stuff, and tries to make everyone in the class appreciate all aspects of both mathematics and physics.",4.5,5.0,Robert Van Den Hoogen
13,He is a nice guy. He taught a lot better than Apaloo I thought. I could understand calc much better with him. I think his quizzes are a lot easier than his exams. Just pay attention and take notes should do fine even though I got a 55 but I passed.,3.0,3.0,Robert Van Den Hoogen
14,Do the assignments yourself and you won't even have to study for midterms/exams.  keep up with the homework too.,5.0,1.0,Robert Van Den Hoogen
15,"nuts. Gotta love him. The pose he makes when he thinks of a problem, he looks as if hes getting his portrait drawn. you guys will know what i mean. he cracks me up and he's always willing to help out. never ever seen a person with that much enthusiasim for math tho. great",4.0,2.0,Robert Van Den Hoogen
16,Great prof!,5.0,4.0,Robert Van Den Hoogen
17,"This guy is halarious....but he knows what he's talking about. His enthusiasm also helps you to stay awake during those early 8:15s. He is organized, helpful & motivating...Take him for stats!!!",5.0,2.0,Robert Van Den Hoogen
18,"Great Prof! The most enthusiastic person I ever saw teach math! Very easy to talk to, and is always willing to help! Tests are always fair and he is a really good marker. If you can take a course from him you should! Best prof ever!",5.0,2.0,Robert Van Den Hoogen
19,"he is a really good teacher, def. my fav. teacher since i've been here he really tries to make everyone understand and is very approachable i enjoy this class it's my highest mark",4.5,2.0,Robert Van Den Hoogen
20,"One of the worst classes I have ever taken, don't waste your time taking this as a gen ed or even in general. The professor is not understanding at all when it comes to grading and attendance. Extremely disorganized.",1.0,4.0,Ventura Perez
21,"He's a little intimidating in knowledge/stature but in reality he's super sweet, just a little braggy. Don't fall behind on the readings- they seem like a lot but just skim them for info. He grades easy on papers and just wants you to show that you know the material. His lectures are awesome, his teaching style is very anti-hand-holding. Loved it!",5.0,3.0,Ventura Perez
22,"He does not usually teach freshmen, so since I had him as one my opinion may be skewed. Nice guy, really knows his stuff about violence and archaeology. Was never rude or condescending in any way, but somewhat intimidating. He tried to promote student discussion most classes over him lecturing which was nice though.",3.0,3.0,Ventura Perez
23,Perez was never available when I needed help and he made a lot of comments during class that were straight up wrong. One of the worst profs I've had at Umass,1.0,4.0,Ventura Perez
24,"Fascinating guy who cares about his students. Our class was mostly reading articles as homework and discussing them in class. No exams/quizzes besides the midterm and final. I'm not an anthro major but he made the class interesting and fun. Fair warning his ancient civ class is more of an archaeology class (leans towards science, not history)",5.0,3.0,Ventura Perez
25,"Perez is a great teacher and an even better person. If anyone is looking for an LGBTQ friendly teacher, this guy is it. He covers a ton of super important info, and it goes way further than just ancient civilizations. However, be ready to read, cause there's a lot of reading for every class. Stay on top of it and you'll do fine!",5.0,4.0,Ventura Perez
26,"everything the reviewer before me said. prof was extremely disorganized and had a terrible attitude, especially towards female students. I'll never take a class with Perez again.",1.0,3.0,Ventura Perez
27,"Abysmal pedagogy, prioritizes insinuations against students' intelligence over rectifying academic misunderstandings. No room for difference in academic opinion. Completely inaccessible outside of class. Has his grad students do all his work for him. Extraordinarily self oriented, considers his own research methods to be the only right way.",1.0,4.0,Ventura Perez
28,"Not many lectures, but the material is very engaging. This class will broaden your perspective of forensic science no matter how much you may already know, & hes extremely knowledgeable about forensics and violence theory in general. Taphonomy Lab trips and engaging group projects are both great. The course was graded fairly, would recommend.",5.0,3.0,Ventura Perez
29,"The class isn't lecture heavy, but the material was way more interesting than expected, and pretty enjoyable. He is extremely knowledgeable on the topic and a great recourse. The class was pretty hands on with trips to lab and such. Grading was always fair. The syllabus changed only in our favor, i.e. pushing back due dates. Overall I learned a lot",5.0,3.0,Ventura Perez
30,"Dr. Perez did a great job at relating the current events unfolding in today's society and applying them in the classroom setting. I found the class very interesting and hands on, which is a plus in my book. The class is not homework heavy, rather it gives a great look into the world of forensics as a whole. I definitely recommend taking this class.",4.0,2.0,Ventura Perez
31,"He may have been a great professor 10 years ago, but has gotten incredibly lazy since. I learned absolutely nothing in this class, there was only 1 lecture the entire semester. Interesting activities promised like trips to the lab never happened. Feedback was minimal if we ever got any. He was my least favorite professor in my entire UMass career.",1.0,2.0,Ventura Perez
32,"For someone who constantly bragged about how important he was, he was an abysmal professor. He constantly changed the coursework and poorly explained the class. He always showed up late, left early, was rarely prepared for class, his lectures were full of falsehoods, and he was completely inaccessible outside of class. His apathy was ridiculous.",1.0,3.0,Ventura Perez
33,Professor Perez cares only about himself and his research. Throughout the semester  he has lectured a total of ONE time. He expects us to teach ourselves and does not give us feedback. His grad students give us minimal feedback a month and a half after the assignment was due. He shows up 10 to 15 minutes late to every lecture and is inaccessible.,1.0,2.0,Ventura Perez
34,"want a professor with experience in violence? He's the guy. BUT very difficult to reach after class. Makes you read a lot but mostly to discuss in class. Very discussion heavy. No homework other than final 15 pg paper, but don't worry he makes it seem more serious than it actually is. He's a great reference, if you can reach him.",3.0,2.0,Ventura Perez
35,"This class is a lot of work for a Gen Ed, but very worth it. I'm not an anthro major, and I don't know much about Anthro, but I learned a lot in this class. You have to do 30 hours of community service and write a 20-25 page paper applying violence theory to your experience, but with all the material you cover in class, it's not to difficult to do.",4.5,4.0,Ventura Perez
36,"Great guy, but the amount of papers he had us do was not worth a 200 level class and doesn't realize students are taking other classes. half way through the semester I stopped looking at the syllabus because he kept changing things. he also has you write a 8-10 page research paper at the end worth 35% of your grade using 15 sources ",3.0,5.0,Ventura Perez
37,"This was by far the best class I have ever taken. It was incredibly difficult, but I have never wanted to work so hard for a good grade. He is a great guy, very helpful if you are willing to ask and put in the effort. If you are dedicated to this class you absolutely won't regret the work!",4.5,4.0,Ventura Perez
38,"Ventura's awesome.  He can be a hard ass, but he can also be a big softy.  He very intelligent and knows what he's talking about.  He can be your friend as well as your professor.",5.0,4.0,Ventura Perez
39,Ventura is a real pain in the -. I don't know why I like him so much.,4.5,5.0,Ventura Perez
40,"EDUC 613 is the MTEL prep course EVERY history major who wants to become a teacher should take because Bob makes sure you're ready. You spend every class focusing on one aspect of the Massachusetts history standard starting with World History and moving on to U.S., Government & Politics, and Economics last. You get a ton of practice questions too!",5.0,2.0,Robert Maloy
41,Bestttt,5.0,4.0,Robert Maloy
42,Bob is the best person within the College of Education. Tutoring in School's is a perfect course for those who think they want to be teachers because it gives you the experience of working with students aftershool. Bob & Sharon Edwards really care about their students and are very insightful about America's education system. TAKE THIS COURSE!,5.0,2.0,Robert Maloy
